"id","word","syllables"
"115","abdominally",5
"116","abduce",2
"117","abduced",2
"118","abducens",3
"119","abducent",3
"120","abducentes",4
"121","abduces",2
"122","abducing",3
"123","abduct",2
"124","abducted",2
"125","abducting",3
"126","abductor",3
"127","abductores",3
"128","abductors",3
"129","abducts",2
"130","abdul",2
"131","abdulkarim",4
"132","abdullah",3
"133","abe",1
"134","abeam",2
"135","abecedarian",6
"136","abed",2
"137","abel",2
"138","abelard",3
"139","abele",2
"140","abeles",2
"141","abelmosk",3
"142","abelmosks",3
"143","aberrant",3
"144","aberrants",3
"145","aberration",4
"146","aberrations",4
"147","abet",2
"148","abetment",3
"149","abetments",3
"150","abets",2
"151","abettal",3
"152","abettals",3
"153","abetted",3
"154","abetter",3
"155","abetters",3
"156","abetting",3
"157","abettor",3
"158","abettors",3
"159","abeyance",3
"160","abeyances",3
"161","abeyancies",3
"162","abeyancy",4
"163","abeyant",3
"164","abfarad",3
"165","abfarads",3
"166","abhenries",3
"167","abhenry",3
"168","abhenrys",3
"169","abhor",2
"170","abhorred",2
"171","abhorrence",3
"172","abhorrences",3
"173","abhorrent",3
"174","abhorrer",3
"175","abhorrers",3
"176","abhorring",3
"177","abhors",2
"178","abidance",3
"179","abidances",3
"180","abide",2
"181","abided",3
"182","abider",3
"183","abiders",3
"184","abides",2
"185","abiding",3
"186","abied",1
"187","abies",3
"188","abigael",3
"189","abigail",3
"190","abigails",3
"191","abigale",2
"192","abilities",4
"193","ability",4
"194","abioses",4
"195","abiosis",4
"196","abiotic",4
"197","abject",2
"198","abjection",3
"199","abjectly",3
"200","abjectness",3
"201","abjectnesses",4
"202","abjuration",4
"203","abjurations",4
"204","abjure",2
"205","abjured",2
"206","abjurer",3
"207","abjurers",3
"208","abjures",2
"209","abjuring",3
"210","ablate",2
"211","ablated",3
"212","ablates",2
"213","ablating",3
"214","ablation",3
"215","ablations",3
"216","ablative",3
"217","ablatives",3
"218","ablaut",2
"219","ablauts",2
"220","ablaze",2
"221","able",2
"222","ablegate",3
"223","ablegates",3
"224","abler",2
"225","ables",2
"226","ablest",2
"227","ablings",2
"228","ablins",2
"229","abloom",2
"230","abluent",3
"231","abluents",3
"232","ablush",2
"233","abluted",3
"234","ablution",3
"235","ablutions",3
"236","ably",2
"237","abmho",2
"238","abmhos",2
"239","abnegate",3
"240","abnegated",4
"241","abnegates",3
"242","abnegating",4
"243","abnegation",4
"244","abnegations",4
"245","abner",2
"246","abnormal",3
"247","abnormalities",5
"248","abnormality",5
"249","abnormally",4
"250","abnormals",3
"251","abo",2
"252","aboard",2
"253","abode",2
"254","aboded",3
"255","abodes",2
"256","aboding",3
"257","abohm",2
"258","abohms",2
"259","aboideau",3
"260","aboideaus",3
"261","aboideaux",4
"262","aboil",2
"263","aboiteau",3
"264","aboiteaus",3
"265","aboiteaux",4
"266","abolish",3
"267","abolished",3
"268","abolishes",4
"269","abolishing",4
"270","abolition",4
"271","abolitionist",5
"272","abolitions",4
"273","abolla",3
"274","abollae",3
"275","aboma",3
"276","abomas",3
"277","abomasa",4
"278","abomasal",4
"279","abomasi",4
"280","abomasum",4
"281","abomasus",4
"282","abominable",5
"283","abominate",4
"284","abominated",5
"285","abominates",4
"286","abominating",5
"287","abomination",5
"288","abominations",5
"289","aboon",2
"290","aboral",3
"291","aborally",4
"292","aboriginal",5
"293","aborigine",5
"294","aborigines",5
"295","aborning",3
"296","abort",2
"297","aborted",3
"298","aborter",3
"299","aborters",3
"300","aborting",3
"301","abortion",3
"302","abortions",3
"303","abortive",3
"304","aborts",2
"305","abos",2
"306","abought",2
"307","aboulia",4
"308","aboulias",4
"309","aboulic",3
"310","abound",2
"311","abounded",2
"312","abounding",3
"313","abounds",2
"314","about",2
"315","above",2
"316","aboveboard",3
"317","aboves",2
"318","abra",2
"319","abracadabra",5
"320","abradant",3
"321","abradants",3
"322","abrade",2
"323","abraded",3
"324","abrader",3
"325","abraders",3
"326","abrades",2
"327","abrading",3
"328","abraham",3
"329","abram",2
"330","abrasion",3
"331","abrasions",3
"332","abrasive",3
"333","abrasively",4
"334","abrasiveness",5
"335","abrasivenesses",6
"336","abrasives",3
"337","abreact",3
"338","abreacted",3
"339","abreacting",4
"340","abreacts",3
"341","abreast",2
"342","abri",2
"343","abridge",2
"344","abridged",2
"345","abridgement",3
"346","abridgements",3
"347","abridger",3
"348","abridgers",3
"349","abridges",2
"350","abridging",3
"351","abridgment",3
"352","abridgments",3
"353","abris",2
"354","abroach",2
"355","abroad",2
"356","abrogate",3
"357","abrogated",4
"358","abrogates",3
"359","abrogating",4
"360","abrogation",4
"361","abrupt",2
"362","abrupter",3
"363","abruptest",3
"364","abruptly",3
"365","abscess",2
"366","abscessed",2
"367","abscesses",3
"368","abscessing",3
"369","abscise",2
"370","abscised",2
"371","abscises",3
"372","abscisin",3
"373","abscising",3
"374","abscisins",3
"375","abscissa",3
"376","abscissae",3
"377","abscissas",3
"378","abscond",2
"379","absconded",2
"380","absconding",3
"381","absconds",2
"382","abscound",2
"383","absence",2
"384","absences",3
"385","absent",2
"386","absented",2
"387","absentee",3
"388","absentees",3
"389","absenter",3
"390","absenters",3
"391","absenting",3
"392","absently",3
"393","absentminded",4
"394","absentmindedly",5
"395","absentmindedness",5
"396","absentmindednesses",6
"397","absents",2
"398","absinth",1
"399","absinthe",2
"400","absinthes",3
"401","absinths",2
"402","absolute",3
"403","absolutely",4
"404","absoluter",4
"405","absolutes",3
"406","absolutest",4
"407","absolution",4
"408","absolutions",4
"409","absolutism",4
"410","absolve",2
"411","absolved",2
"412","absolver",3
"413","absolvers",3
"414","absolves",2
"415","absolving",3
"416","absonant",3
"417","absorb",2
"418","absorbed",2
"419","absorbencies",4
"420","absorbency",4
"421","absorbent",3
"422","absorber",3
"423","absorbers",3
"424","absorbing",3
"425","absorbingly",4
"426","absorbs",2
"427","absorption",3
"428","absorptions",3
"429","absorptive",3
"430","abstain",2
"431","abstained",2
"432","abstainer",3
"433","abstainers",3
"434","abstaining",3
"435","abstains",2
"436","abstemious",4
"437","abstemiously",5
"438","abstention",3
"439","abstentions",3
"440","absterge",2
"441","absterged",2
"442","absterges",3
"443","absterging",3
"444","abstinence",3
"445","abstinences",4
"446","abstract",2
"447","abstracted",3
"448","abstracter",3
"449","abstractest",3
"450","abstracting",3
"451","abstraction",3
"452","abstractions",3
"453","abstractly",3
"454","abstractness",3
"455","abstractnesses",4
"456","abstracts",2
"457","abstrict",2
"458","abstricted",3
"459","abstricting",3
"460","abstricts",2
"461","abstruse",2
"462","abstrusely",3
"463","abstruseness",3
"464","abstrusenesses",5
"465","abstruser",3
"466","abstrusest",3
"467","absurd",2
"468","absurder",3
"469","absurdest",3
"470","absurdities",4
"471","absurdity",4
"472","absurdly",3
"473","absurds",2
"474","abubble",3
"475","abulia",4
"476","abulias",4
"477","abulic",3
"478","abundance",3
"479","abundances",3
"480","abundant",3
"481","abundantly",4
"482","abusable",4
"483","abuse",2
"484","abused",2
"485","abuser",3
"486","abusers",3
"487","abuses",3
"488","abusing",3
"489","abusive",3
"490","abusively",4
"491","abusiveness",4
"492","abusivenesses",6
"493","abut",2
"494","abutilon",4
"495","abutilons",4
"496","abutment",3
"497","abutments",3
"498","abuts",2
"499","abuttal",3
"500","abuttals",3
"501","abutted",3
"502","abutter",3
"503","abutters",3
"504","abutting",3
"505","abuzz",2
"506","abvolt",2
"507","abvolts",2
"508","abwatt",2
"509","abwatts",2
"510","aby",2
"511","abye",2
"512","abyed",1
"513","abyes",2
"514","abying",3
"515","abys",2
"516","abysm",2
"517","abysmal",3
"518","abysmally",4
"519","abysms",2
"520","abyss",2
"521","abyssal",3
"522","abysses",2
"523","ac",2
"524","acacia",3
"525","acacias",3
"526","academe",3
"527","academes",3
"528","academia",5
"529","academias",5
"530","academic",4
"531","academically",6
"532","academician",5
"533","academicism",5
"534","academics",4
"535","academies",4
"536","academy",3
"537","acajou",3
"538","acajous",3
"539","acaleph",3
"540","acalephae",4
"541","acalephe",3
"542","acalephes",3
"543","acalephs",3
"544","acanthi",3
"545","acanthus",3
"546","acanthuses",4
"547","acari",3
"548","acarid",3
"549","acaridan",4
"550","acaridans",4
"551","acarids",3
"552","acarine",3
"553","acarines",3
"554","acaroid",3
"555","acarpous",3
"556","acarus",3
"557","acaudal",3
"558","acaudate",3
"559","acauline",3
"560","acaulose",3
"561","acaulous",3
"562","accede",2
"563","acceded",3
"564","acceder",3
"565","acceders",3
"566","accedes",2
"567","acceding",3
"568","accelerando",5
"569","accelerate",4
"570","accelerated",5
"571","accelerates",4
"572","accelerating",5
"573","acceleration",5
"574","accelerations",5
"575","accelerator",5
"576","accelerators",5
"577","accent",2
"578","accented",2
"579","accenting",3
"580","accentor",3
"581","accentors",3
"582","accents",2
"583","accentual",4
"584","accentuate",4
"585","accentuated",5
"586","accentuates",4
"587","accentuating",5
"588","accentuation",5
"589","accentuations",5
"590","accept",2
"591","acceptabilities",6
"592","acceptability",6
"593","acceptable",4
"594","acceptance",3
"595","acceptances",3
"596","acceptation",4
"597","accepted",3
"598","acceptee",3
"599","acceptees",3
"600","accepter",3
"601","accepters",3
"602","accepting",3
"603","acceptor",3
"604","acceptors",3
"605","accepts",2
"606","access",2
"607","accessed",2
"608","accesses",3
"609","accessibilities",6
"610","accessibility",6
"611","accessible",4
"612","accessing",3
"613","accession",3
"614","accessions",3
"615","accessories",4
"616","accessory",4
"617","accidence",3
"618","accident",3
"619","accidental",4
"620","accidentally",5
"621","accidentals",4
"622","accidents",3
"623","accidie",3
"624","accidies",3
"625","acclaim",2
"626","acclaimed",2
"627","acclaiming",3
"628","acclaims",2
"629","acclamation",4
"630","acclamations",4
"631","acclimate",3
"632","acclimated",4
"633","acclimates",3
"634","acclimating",4
"635","acclimation",4
"636","acclimations",4
"637","acclimatization",6
"638","acclimatizations",6
"639","acclimatize",4
"640","acclimatizes",4
"641","acclivity",4
"642","accolade",3
"643","accolades",3
"644","accommodate",4
"645","accommodated",5
"646","accommodates",4
"647","accommodating",5
"648","accommodation",5
"649","accommodations",5
"650","accompanied",4
"651","accompanies",4
"652","accompaniment",5
"653","accompaniments",5
"654","accompanist",4
"655","accompany",4
"656","accompanying",5
"657","accomplice",3
"658","accomplices",3
"659","accomplish",3
"660","accomplished",3
"661","accomplisher",4
"662","accomplishers",4
"663","accomplishes",4
"664","accomplishing",4
"665","accomplishment",4
"666","accomplishments",4
"667","accord",2
"668","accordance",3
"669","accordant",3
"670","accorded",2
"671","accorder",3
"672","accorders",3
"673","according",3
"674","accordingly",4
"675","accordion",4
"676","accordions",4
"677","accords",2
"678","accost",2
"679","accosted",3
"680","accosting",3
"681","accosts",2
"682","account",2
"683","accountabilities",6
"684","accountability",6
"685","accountable",4
"686","accountancies",4
"687","accountancy",4
"688","accountant",3
"689","accountants",3
"690","accounted",2
"691","accounting",3
"692","accountings",3
"693","accounts",2
"694","accouter",3
"695","accoutered",3
"696","accoutering",4
"697","accouters",3
"698","accoutre",3
"699","accoutred",2
"700","accoutrement",3
"701","accoutrements",4
"702","accoutres",3
"703","accoutring",3
"704","accredit",3
"705","accredited",4
"706","accrediting",4
"707","accredits",3
"708","accrete",2
"709","accreted",3
"710","accretes",2
"711","accreting",3
"712","accretion",3
"713","accrual",3
"714","accruals",3
"715","accrue",2
"716","accrued",2
"717","accrues",2
"718","accruing",3
"719","acculturation",5
"720","accumulate",4
"721","accumulated",5
"722","accumulates",4
"723","accumulating",5
"724","accumulation",5
"725","accumulations",5
"726","accumulator",5
"727","accumulators",5
"728","accuracies",4
"729","accuracy",4
"730","accurate",3
"731","accurately",4
"732","accurateness",4
"733","accuratenesses",6
"734","accursed",3
"735","accurst",2
"736","accusal",3
"737","accusals",3
"738","accusant",3
"739","accusants",3
"740","accusation",4
"741","accusations",4
"742","accusative",4
"743","accuse",2
"744","accused",2
"745","accuser",3
"746","accusers",3
"747","accuses",3
"748","accusing",3
"749","accustom",3
"750","accustomed",3
"751","accustoming",4
"752","accustoms",3
"753","ace",1
"754","aced",1
"755","acedia",4
"756","acedias",4
"757","aceldama",4
"758","aceldamas",4
"759","acentric",3
"760","acequia",3
"761","acequias",3
"762","acerate",3
"763","acerated",4
"764","acerb",2
"765","acerbate",3
"766","acerbated",4
"767","acerbates",3
"768","acerbating",4
"769","acerber",3
"770","acerbest",3
"771","acerbic",3
"772","acerbities",4
"773","acerbity",4
"774","acerola",4
"775","acerolas",4
"776","acerose",3
"777","acerous",3
"778","acers",2
"779","acervate",3
"780","acervuli",4
"781","aces",2
"782","acescent",3
"783","acescents",3
"784","aceta",3
"785","acetal",3
"786","acetals",3
"787","acetamid",4
"788","acetamids",4
"789","acetanilide",5
"790","acetate",3
"791","acetated",4
"792","acetates",3
"793","acetic",3
"794","acetified",4
"795","acetifies",4
"796","acetify",4
"797","acetifying",5
"798","acetone",3
"799","acetones",3
"800","acetonic",4
"801","acetose",3
"802","acetous",3
"803","acetoxyl",5
"804","acetoxyls",4
"805","acetum",3
"806","acetyl",3
"807","acetylene",4
"808","acetylenes",4
"809","acetylic",4
"810","acetyls",3
"811","ache",1
"812","ached",1
"813","achene",2
"814","achenes",2
"815","achenial",4
"816","aches",1
"817","achier",2
"818","achiest",3
"819","achievable",4
"820","achieve",2
"821","achieved",2
"822","achievement",3
"823","achievements",3
"824","achiever",3
"825","achievers",3
"826","achieves",2
"827","achieving",3
"828","achiness",3
"829","achinesses",4
"830","aching",2
"831","achingly",3
"832","achiote",4
"833","achiotes",4
"834","achoo",2
"835","achromat",3
"836","achromatic",4
"837","achromats",3
"838","achromic",3
"839","achy",2
"840","acicula",4
"841","aciculae",4
"842","acicular",4
"843","aciculas",4
"844","acid",2
"845","acidhead",3
"846","acidheads",3
"847","acidic",3
"848","acidified",4
"849","acidifies",4
"850","acidify",4
"851","acidifying",5
"852","acidities",4
"853","acidity",4
"854","acidly",3
"855","acidness",3
"856","acidnesses",4
"857","acidoses",4
"858","acidosis",4
"859","acidotic",4
"860","acids",2
"861","acidulous",4
"862","acidy",3
"863","acierate",4
"864","acierated",5
"865","acierates",4
"866","acierating",5
"867","aciform",3
"868","acinar",3
"869","acing",2
"870","acini",3
"871","acinic",3
"872","acinose",3
"873","acinous",3
"874","acinus",3
"875","acknowledge",3
"876","acknowledged",3
"877","acknowledgement",4
"878","acknowledgements",4
"879","acknowledges",3
"880","acknowledging",4
"881","acknowledgment",4
"882","acknowledgments",4
"883","aclinic",3
"884","acmatic",3
"885","acme",2
"886","acmes",2
"887","acmic",2
"888","acne",2
"889","acned",2
"890","acnes",2
"891","acnode",2
"892","acnodes",2
"893","acock",2
"894","acold",2
"895","acolyte",3
"896","acolytes",3
"897","aconite",3
"898","aconites",3
"899","aconitic",4
"900","aconitum",4
"901","aconitums",4
"902","acorn",2
"903","acorns",2
"904","acoustic",3
"905","acoustical",4
"906","acoustically",5
"907","acoustics",3
"908","acquaint",2
"909","acquaintance",3
"910","acquaintances",3
"911","acquaintanceship",4
"912","acquaintanceships",5
"913","acquainted",3
"914","acquainting",3
"915","acquaints",2
"916","acquest",2
"917","acquests",2
"918","acquiesce",3
"919","acquiesced",3
"920","acquiescence",4
"921","acquiescences",5
"922","acquiescent",4
"923","acquiescently",5
"924","acquiesces",4
"925","acquiescing",4
"926","acquire",2
"927","acquired",2
"928","acquirer",3
"929","acquirers",3
"930","acquires",2
"931","acquiring",3
"932","acquisition",4
"933","acquisitions",4
"934","acquisitive",4
"935","acquit",2
"936","acquits",2
"937","acquitted",3
"938","acquitting",3
"939","acrasin",3
"940","acrasins",3
"941","acre",2
"942","acreage",3
"943","acreages",3
"944","acred",2
"945","acres",3
"946","acrid",2
"947","acrider",3
"948","acridest",3
"949","acridine",3
"950","acridines",3
"951","acridities",4
"952","acridity",4
"953","acridly",3
"954","acridness",3
"955","acridnesses",4
"956","acrimonies",4
"957","acrimonious",5
"958","acrimony",4
"959","acrobat",3
"960","acrobatic",4
"961","acrobatics",4
"962","acrobats",3
"963","acrodont",3
"964","acrodonts",3
"965","acrogen",3
"966","acrogens",3
"967","acrolein",4
"968","acroleins",4
"969","acrolith",3
"970","acroliths",3
"971","acromia",4
"972","acromial",4
"973","acromion",4
"974","acronic",3
"975","acronym",3
"976","acronyms",3
"977","acrophobia",5
"978","acropolis",4
"979","across",2
"980","acrostic",3
"981","acrostics",3
"982","acrotic",3
"983","acrotism",3
"984","acrotisms",4
"985","acrylate",3
"986","acrylates",3
"987","acrylic",3
"988","acrylics",3
"989","act",1
"990","acta",2
"991","actable",3
"992","acted",2
"993","actin",2
"994","actinal",3
"995","acting",2
"996","actings",2
"997","actinia",4
"998","actiniae",4
"999","actinian",4
"1000","actinians",4
"1001","actinias",4
"1002","actinic",3
"1003","actinide",3
"1004","actinides",3
"1005","actinism",3
"1006","actinisms",4
"1007","actinium",4
"1008","actiniums",4
"1009","actinoid",3
"1010","actinoids",3
"1011","actinon",3
"1012","actinons",3
"1013","actins",2
"1014","action",2
"1015","actions",2
"1016","activate",3
"1017","activated",4
"1018","activates",3
"1019","activating",4
"1020","activation",4
"1021","activations",4
"1022","active",2
"1023","actively",3
"1024","actives",2
"1025","activism",3
"1026","activisms",4
"1027","activist",3
"1028","activists",3
"1029","activities",4
"1030","activity",4
"1031","actor",2
"1032","actorish",3
"1033","actors",2
"1034","actress",2
"1035","actresses",3
"1036","acts",1
"1037","actual",3
"1038","actualities",5
"1039","actuality",5
"1040","actualization",6
"1041","actualizations",6
"1042","actualize",4
"1043","actualized",4
"1044","actualizes",4
"1045","actualizing",5
"1046","actually",4
"1047","actuarial",5
"1048","actuaries",4
"1049","actuary",4
"1050","actuate",3
"1051","actuated",4
"1052","actuates",3
"1053","actuating",4
"1054","actuator",4
"1055","actuators",4
"1056","acuate",3
"1057","acuities",3
"1058","acuity",4
"1059","aculeate",4
"1060","acumen",3
"1061","acumens",3
"1062","acupuncture",4
"1063","acupunctures",4
"1064","acupuncturist",5
"1065","acupuncturists",5
"1066","acutance",3
"1067","acutances",3
"1068","acute",2
"1069","acutely",3
"1070","acuteness",3
"1071","acutenesses",4
"1072","acuter",3
"1073","acutes",2
"1074","acutest",3
"1075","acyclic",3
"1076","acyl",2
"1077","acylate",3
"1078","acylated",4
"1079","acylates",3
"1080","acylating",4
"1081","acyls",2
"1082","ad",1
"1083","ada",2
"1084","adage",2
"1085","adages",2
"1086","adagial",4
"1087","adagio",4
"1088","adagios",4
"1089","adah",2
"1090","adair",2
"1091","adalberto",4
"1092","adaline",3
"1093","adam",2
"1094","adamance",3
"1095","adamances",4
"1096","adamancies",4
"1097","adamancy",4
"1098","adamant",3
"1099","adamantine",4
"1100","adamantlies",4
"1101","adamantly",4
"1102","adamants",3
"1103","adams",2
"1104","adamsite",3
"1105","adamsites",3
"1106","adan",2
"1107","adapt",2
"1108","adaptabilities",6
"1109","adaptability",6
"1110","adaptable",4
"1111","adaptation",4
"1112","adaptations",4
"1113","adapted",2
"1114","adapter",3
"1115","adapters",3
"1116","adapting",3
"1117","adaption",3
"1118","adaptions",3
"1119","adaptive",3
"1120","adaptor",3
"1121","adaptors",3
"1122","adapts",2
"1123","adara",3
"1124","adaxial",4
"1125","add",1
"1126","addable",3
"1127","addax",2
"1128","addaxes",3
"1129","added",2
"1130","addedly",3
"1131","addend",2
"1132","addenda",3
"1133","addends",2
"1134","addendum",3
"1135","adder",2
"1136","adders",2
"1137","addible",3
"1138","addict",2
"1139","addicted",3
"1140","addicting",3
"1141","addiction",3
"1142","addictions",3
"1143","addictive",3
"1144","addicts",2
"1145","addie",2
"1146","adding",2
"1147","addis",2
"1148","addition",3
"1149","additional",4
"1150","additionally",5
"1151","additions",3
"1152","additive",3
"1153","additives",3
"1154","addle",2
"1155","addled",2
"1156","addles",2
"1157","addling",2
"1158","address",2
"1159","addressable",4
"1160","addressed",2
"1161","addressee",3
"1162","addresses",3
"1163","addressing",3
"1164","addrest",2
"1165","adds",1
"1166","adduce",2
"1167","adduced",2
"1168","adducent",3
"1169","adducer",3
"1170","adducers",3
"1171","adduces",2
"1172","adducing",3
"1173","adduct",2
"1174","adducted",2
"1175","adducting",3
"1176","adductor",3
"1177","adductors",3
"1178","adducts",2
"1179","adeem",2
"1180","adeemed",2
"1181","adeeming",3
"1182","adeems",2
"1183","adel",2
"1184","adela",3
"1185","adelaida",4
"1186","adelaide",3
"1187","adele",2
"1188","adelia",4
"1189","adelice",3
"1190","adelina",4
"1191","adelind",3
"1192","adeline",3
"1193","adell",3
"1194","adella",3
"1195","adelle",3
"1196","adena",3
"1197","adenine",3
"1198","adenines",3
"1199","adenitis",4
"1200","adenitises",5
"1201","adenoid",3
"1202","adenoidal",4
"1203","adenoids",3
"1204","adenoma",4
"1205","adenomas",4
"1206","adenomata",5
"1207","adenopathy",5
"1208","adenyl",4
"1209","adenyls",3
"1210","adept",2
"1211","adepter",3
"1212","adeptest",3
"1213","adeptly",3
"1214","adeptness",3
"1215","adeptnesses",4
"1216","adepts",2
"1217","adequacies",4
"1218","adequacy",4
"1219","adequate",3
"1220","adequately",4
"1221","adey",2
"1222","adger",1
"1223","adha",4
"1224","adhere",2
"1225","adhered",2
"1226","adherence",3
"1227","adherences",3
"1228","adherend",3
"1229","adherends",3
"1230","adherent",3
"1231","adherents",3
"1232","adherer",3
"1233","adherers",3
"1234","adheres",2
"1235","adhering",3
"1236","adhesion",3
"1237","adhesions",3
"1238","adhesive",3
"1239","adhesives",3
"1240","adhibit",3
"1241","adhibited",3
"1242","adhibiting",4
"1243","adhibits",3
"1244","adi",2
"1245","adiana",4
"1246","adieu",2
"1247","adieus",2
"1248","adieux",2
"1249","adina",3
"1250","adios",3
"1251","adipic",3
"1252","adipose",3
"1253","adiposes",4
"1254","adiposis",4
"1255","adiposity",5
"1256","adipous",3
"1257","adit",2
"1258","adits",2
"1259","aditya",3
"1260","adjacent",3
"1261","adjectival",4
"1262","adjectivally",5
"1263","adjective",3
"1264","adjectives",3
"1265","adjoin",2
"1266","adjoined",2
"1267","adjoining",3
"1268","adjoins",2
"1269","adjoint",2
"1270","adjoints",2
"1271","adjourn",2
"1272","adjourned",2
"1273","adjourning",3
"1274","adjournment",3
"1275","adjournments",3
"1276","adjourns",2
"1277","adjudge",2
"1278","adjudged",2
"1279","adjudges",2
"1280","adjudging",3
"1281","adjudicate",4
"1282","adjudicated",5
"1283","adjudicates",4
"1284","adjudicating",5
"1285","adjudication",5
"1286","adjudications",5
"1287","adjunct",2
"1288","adjuncts",2
"1289","adjuration",4
"1290","adjure",2
"1291","adjured",2
"1292","adjurer",3
"1293","adjurers",3
"1294","adjures",2
"1295","adjuring",3
"1296","adjuror",3
"1297","adjurors",3
"1298","adjust",2
"1299","adjustable",4
"1300","adjusted",3
"1301","adjuster",3
"1302","adjusters",3
"1303","adjusting",3
"1304","adjustment",3
"1305","adjustments",3
"1306","adjustor",3
"1307","adjustors",3
"1308","adjusts",2
"1309","adjutant",3
"1310","adjutants",3
"1311","adjuvant",3
"1312","adjuvants",3
"1313","adlai",2
"1314","adman",2
"1315","admass",2
"1316","admen",2
"1317","administer",4
"1318","administers",4
"1319","administrable",5
"1320","administrant",4
"1321","administrants",4
"1322","administration",5
"1323","administrations",5
"1324","administrative",5
"1325","administratively",6
"1326","administrator",5
"1327","administrators",5
"1328","adminstration",4
"1329","adminstrations",4
"1330","admirable",4
"1331","admiral",3
"1332","admirals",3
"1333","admiration",4
"1334","admirations",4
"1335","admire",2
"1336","admired",2
"1337","admirer",3
"1338","admirers",3
"1339","admires",2
"1340","admiring",3
"1341","admiringly",4
"1342","admissibilities",6
"1343","admissibility",6
"1344","admissible",4
"1345","admissibly",4
"1346","admission",3
"1347","admissions",3
"1348","admit",2
"1349","admits",2
"1350","admittance",3
"1351","admittances",3
"1352","admitted",3
"1353","admittedly",4
"1354","admitter",3
"1355","admitters",3
"1356","admitting",3
"1357","admix",2
"1358","admixed",2
"1359","admixes",3
"1360","admixing",3
"1361","admixt",2
"1362","admixture",3
"1363","admixtures",3
"1364","admonish",3
"1365","admonished",3
"1366","admonishes",4
"1367","admonishing",4
"1368","admonition",4
"1369","admonitory",5
"1370","adnan",2
"1371","adnate",2
"1372","adnation",3
"1373","adnations",3
"1374","adnexa",3
"1375","adnexal",3
"1376","adnoun",2
"1377","adnouns",2
"1378","ado",2
"1379","adobe",3
"1380","adobes",3
"1381","adolescence",4
"1382","adolescences",5
"1383","adolescent",4
"1384","adolescents",4
"1385","adolf",2
"1386","adolfo",3
"1387","adolph",2
"1388","adolphe",2
"1389","adolpho",3
"1390","adolphus",3
"1391","adopt",2
"1392","adopted",3
"1393","adoptee",3
"1394","adoptees",3
"1395","adopter",3
"1396","adopters",3
"1397","adopting",3
"1398","adoption",3
"1399","adoptions",3
"1400","adoptive",3
"1401","adopts",2
"1402","adora",3
"1403","adorable",4
"1404","adorably",4
"1405","adoration",4
"1406","adorations",4
"1407","adore",2
"1408","adored",2
"1409","adoree",3
"1410","adorer",3
"1411","adorers",3
"1412","adores",2
"1413","adoring",3
"1414","adorn",2
"1415","adorne",3
"1416","adorned",2
"1417","adorner",3
"1418","adorners",3
"1419","adorning",3
"1420","adorns",2
"1421","ados",2
"1422","adown",2
"1423","adoze",3
"1424","adrea",2
"1425","adrenal",3
"1426","adrenals",3
"1427","adria",3
"1428","adriaens",4
"1429","adriamycin",5
"1430","adrian",3
"1431","adriana",4
"1432","adriane",3
"1433","adrianna",4
"1434","adrianne",4
"1435","adrick",2
"1436","adrien",3
"1437","adriena",4
"1438","adriene",4
"1439","adrienne",3
"1440","adrift",2
"1441","adroit",2
"1442","adroiter",3
"1443","adroitest",3
"1444","adroitly",3
